first_name,last_name,sex,street_1,street_2,zip_code,birth_date,ssn,phone,email,UUID
Wei,Chen,M,711 Elm St,,96690,1996-05-25,,710-764-7009,wchen1996@company.org,9beb6f14-d396-4da4-93c5-feb4a69bc7d8
Li,Wei,F,3416 Elm St,,24754,1956-01-08,,757-275-8623,,65782bd1-3c1e-4e30-8ef8-bccab4954bc1
Jing,Wang,M,374 Walnut Ave,Apt 1,72330,1961-09-21,,288-851-3369,wang_jing@mail.com,1c560bb0-656e-4118-8cdf-740ffcf7ea74
Min,Liu,F,6268 Cedar Ct,,52994,1964-12-27,,466-711-1038,sports120@hotmail.com,d319ec85-b6e2-433d-be7d-d156c84a8ce2
Rahul,Sharma,M,4029 Pine Ln,,54949,1985-03-05,,779-705-2793,doc202@university.edu,3993dd4e-d9f1-47f7-828a-957404b06d9e
Priya,Patel,F,9197 Maple St,,90921,1988-06-25,,539-656-5137,sun259@company.org,c9b24da2-842d-4bf0-b065-10ce1bae3bb6
Amit,Singh,M,7898 Birch Blvd,Apt 20,48475,1973-12-16,,288-311-2588,red264@university.edu,5288e697-39eb-43d8-b490-36872ed2db6b
Neha,Gupta,F,6072 Birch Blvd,,51284,1956-02-23,,297-746-1177,ngupta1956@company.org,6e3c79a2-7f29-4f15-8be7-dd822a122859
Carlos,Garcia,M,7507 Birch Blvd,,36587,1997-05-28,,486-954-7533,sun429@university.edu,496ecdae-4ccb-4dce-9f7c-388c0deb11c5
Sofia,Martinez,F,,Apt 3,87136,1985-10-24,,695-440-4471,sofiahappy@company.org,c0e2cbf4-97c2-485f-9d77-636e03948d54
Mateo,Lopez,M,5782 Maple St,,95697,1972-07-19,,749-717-3726,mateo.lopez@gmail.com,bc38e5c7-6114-40f4-bc0f-70697147dc1f
Valentina,Rodriguez,F,7714 Elm St,,47939,1965-09-11,,862-968-2141,valentina.rodriguez@university.edu,2aa58924-bcf7-4502-94b2-6cbf395cdea4
Omar,Al-Fayed,M,5371 Pine Ln,Apt 6,75975,1963-05-06,,595-908-9737,oal-fayed1963@icloud.com,37fdec04-a141-4a3d-8dfc-87332041bb87
