FirstName,MiddleName,LastName,Sex,Address,Zip,DOB,SSN,PhoneNumber,EmailAddress,UUID
Priya,V,Patel,F,9197 Maple St,90921,1988-06-25,,539-656-5137,sun259@company.org,c9b24da2-842d-4bf0-b065-10ce1bae3bb6
Amit,,Sigh,M,7898 Birch Blvd Apt 20,48475,1973-12-16,,288-311-2588,red264@university.edu,5288e697-39eb-43d8-b490-36872ed2db6b
Neha,V,Gupta,F,6072 Birch Blvd,51284,1956-02-23,607517380,297-746-1177,ngupta1956@company.org,6e3c79a2-7f29-4f15-8be7-dd822a122859
Carlso,,Garcia,M,7507 Birch Blvd,36587,1997-05-28,,486-954-7533,sun429@university.edu,496ecdae-4ccb-4dce-9f7c-388c0deb11c5
Sofia,,Martinez,F,6887 Pine Ln Apt 3,87136,1985-10-24,,695-440-4471,sofiahappy@company.org,c0e2cbf4-97c2-485f-9d77-636e03948d54
Mateo,,Lopez,M,5782 Maple St,95697,1972-07-19,290266175,749-717-3726,mateo.lopez@gmail.com,bc38e5c7-6114-40f4-bc0f-70697147dc1f
Valentina,K,Rodriguez,F,7714 Elm St,47939,1965-09-11,639721024,862-968-2141,valentina.rodriguez@university.edu,2aa58924-bcf7-4502-94b2-6cbf395cdea4
Omar,,Al-Fayed,M,5371 Pine Ln Apt 6,75975,1963-05-06,,595-908-9737,,37fdec04-a141-4a3d-8dfc-87332041bb87
Fatima,K,Hassan,F,6052 Elm St,81769,1954-04-11,,446-450-9214,fatimasports@mail.com,b1098050-e7fc-433b-af23-ebf980f8ab6b
Tariq,F,Mahmoud,M,5780 Oak Dr,68204,1986-07-18,,723-645-2890,mahmoud_tariq@university.edu,310dc4a3-3009-46d4-af3d-d15680d04e4a
Aisha,,Rahman,F,4754 Cedar Ct,71818,1973-07-01,,966-435-6600,rahman_aisha@university.edu,29e349f7-8bfa-42eb-959a-716f1578c5ad
Yuki,A,Tanaka,M,6548 Oak Dr,88307,1959-08-08,,317-679-2674,ytanaka1959@icloud.com,172cb81d-7143-47ca-9ab4-3e6216afe4ed
Kenji,,Sato,F,4442 Oak Dr,92679,1963-11-04,,775-274-3405,sato_kenji@hotmail.com,5734f49f-0db7-4cfa-ab58-28f3ab7eaf3c
Ji-Hoon,C,Kim,M,2372 Elm St,50269,1966-04-19,,896-261-7881,star242@outlook.com,de5cab75-3c37-425a-9924-e217d8f27b51
Min-Ji,,Park,F,6950 Cedar Ct Apt 10,53216,1984-12-23,,436-499-8300,park_min-ji@icloud.com,728979b5-9e42-4cfb-b829-be392110d0b6
James,,Smith,M,1943 Pine Ln,42287,1970-12-01,,696-623-9290,jamesstar@university.edu,455f692d-264d-4998-b55c-8831ccce9ecb
Mary,V,Johnson,F,,91086,1997-11-08,,864-274-2570,mjohnson1997@mail.com,cfd17f34-7409-4a81-8abf-66b087aad0da
Robert,V,Williasm,M,6178 Oak Dr Apt 2,80132,1978-11-23,,581-731-4338,rwilliams1978@icloud.com,8034a6ab-14e7-427a-b5dc-b0dcfc23c0bb
Patricia,,Brown,F,3026 Oak Dr,39853,1976-07-16,,849-947-8556,patriciasports@university.edu,0e1a6ba6-c2c0-4dca-b6ea-4346ebff86f3
Micheal,X,Jones,M,2257 Maple St,15419,1962-11-26,,986-613-6725,micheal.jones@gmail.com,f18068a8-92eb-49af-9d7a-e7d53c398dae
Linda,P,Miller,F,2494 Cedar Ct,40315,1964-08-06,,581-533-6622,,e29ce803-895e-46f1-bd3a-2e2092cc2c8b
William,,Davis,M,3977 Birch Blvd,93735,1975-02-23,,388-645-1644,data128@outlook.com,3aeb3ea3-0a8a-4af0-a84c-c147bfbbb08a
Elizabeth,,Wilson,F,5162 Walnut Ave Apt 13,83976,1977-01-28,,442-913-7429,elizabethsun@gmail.com,c0c5dc42-21bc-4962-9809-3d913d3fcdab
David,,Taylor,M,2193 Walnut Ave Apt 16,31539,1992-07-11,,949-826-1727,taylor_david@mail.com,362bdfd9-6b03-4682-a3d1-ce26f9a134fc
Jennifer,,Anderson,F,4651 Cedar Ct,45838,1951-02-23,,682-824-1378,janderson1951@gmail.com,ab879048-f33e-4bdc-bef5-f05a5a2b9e09
Richard,O,Thomas,M,452 Elm St,92918,1981-02-11,,615-892-4623,richard.thomas@company.org,e9a3ae3e-d134-498d-b4ab-c710a8909728
Maria,,Jackson,F,5228 Walnut Ave,72008,1993-06-15,,941-561-4675,mjackson1993@company.org,dd1b80db-7fc5-484d-815e-ed30d7d68ff8
Joseph,,White,M,7408 Pine Ln,87207,1990-04-22,,718-944-7846,,ba134f28-33a5-47d8-aeb1-16f2ef620900
Susan,,Harris,F,3156 Birch Blvd,54567,1962-11-20,,269-336-5808,harris_susan@gmail.com,3d85117d-3714-4625-96a3-c3a005ba1a7d
Tomas,,Martin,M,9987 Pine Ln Apt 17,91968,1956-12-19,,499-372-8094,,c3b26951-24de-4e0f-b16a-61f5bf121288
Margaret,,Thompson,F,6411 Oak Dr,46961,1995-11-09,,650-731-8063,margaretmoon@hotmail.com,1d7b4bbc-3c06-4742-89f5-47646191a555
Charles,T,Wood,M,,18571,1997-02-15,,942-933-9011,charlesgamer@university.edu,dd6d56ef-4912-40cb-9d28-3f7d128bb462
Lisa,V,Lewis,F,5200 Birch Blvd Apt 7,95595,1964-07-10,,686-907-2287,lisasun@icloud.com,40d56e43-5a6b-4c3b-9ec3-a4baf93d622e
